Local Government District 1993 Code,Local Government District 1993 Label,Religion - 8 Categories Code,Religion - 8 Categories Label,Age - 19 Categories Code,Age - 19 Categories Label,Sex Code,Sex Label,Count
95HH,Carrickfergus,1,Catholic,7,30-34 years,2,Male,82
95HH,Carrickfergus,1,Catholic,8,35-39 years,1,Female,116
95HH,Carrickfergus,1,Catholic,8,35-39 years,2,Male,87
95HH,Carrickfergus,1,Catholic,9,40-44 years,1,Female,129
95HH,Carrickfergus,1,Catholic,9,40-44 years,2,Male,90
95HH,Carrickfergus,1,Catholic,10,45-49 years,1,Female,121
95HH,Carrickfergus,1,Catholic,10,45-49 years,2,Male,92
95HH,Carrickfergus,1,Catholic,11,50-54 years,1,Female,170
95HH,Carrickfergus,1,Catholic,11,50-54 years,2,Male,140
95HH,Carrickfergus,1,Catholic,12,55-59 years,1,Female,135
95HH,Carrickfergus,1,Catholic,12,55-59 years,2,Male,105
95HH,Carrickfergus,1,Catholic,13,60-64 years,1,Female,126
95HH,Carrickfergus,1,Catholic,13,60-64 years,2,Male,86
95HH,Carrickfergus,1,Catholic,14,65-69 years,1,Female,83
95HH,Carrickfergus,1,Catholic,14,65-69 years,2,Male,67
95HH,Carrickfergus,1,Catholic,15,70-74 years,1,Female,82
95HH,Carrickfergus,1,Catholic,15,70-74 years,2,Male,43
95HH,Carrickfergus,1,Catholic,16,75-79 years,1,Female,52
95HH,Carrickfergus,1,Catholic,16,75-79 years,2,Male,45
95HH,Carrickfergus,1,Catholic,17,80-84 years,1,Female,39
95HH,Carrickfergus,1,Catholic,17,80-84 years,2,Male,30
95HH,Carrickfergus,1,Catholic,18,85-89 years,1,Female,33
95HH,Carrickfergus,1,Catholic,18,85-89 years,2,Male,17
95HH,Carrickfergus,1,Catholic,19,90+ years,1,Female,15
95HH,Carrickfergus,1,Catholic,19,90+ years,2,Male,9
95HH,Carrickfergus,2,Presbyterian Church in Ireland,1,0-4 years,1,Female,211
95HH,Carrickfergus,2,Presbyterian Church in Ireland,1,0-4 years,2,Male,204
95HH,Carrickfergus,2,Presbyterian Church in Ireland,2,5-9 years,1,Female,255
95HH,Carrickfergus,2,Presbyterian Church in Ireland,2,5-9 years,2,Male,274
95HH,Carrickfergus,2,Presbyterian Church in Ireland,3,10-14 years,1,Female,316
95HH,Carrickfergus,2,Presbyterian Church in Ireland,3,10-14 years,2,Male,305
95HH,Carrickfergus,2,Presbyterian Church in Ireland,4,15-19 years,1,Female,286
95HH,Carrickfergus,2,Presbyterian Church in Ireland,4,15-19 years,2,Male,260
95HH,Carrickfergus,2,Presbyterian Church in Ireland,5,20-24 years,1,Female,202
95HH,Carrickfergus,2,Presbyterian Church in Ireland,5,20-24 years,2,Male,234
95HH,Carrickfergus,2,Presbyterian Church in Ireland,6,25-29 years,1,Female,238
95HH,Carrickfergus,2,Presbyterian Church in Ireland,6,25-29 years,2,Male,222
95HH,Carrickfergus,2,Presbyterian Church in Ireland,7,30-34 years,1,Female,284
95HH,Carrickfergus,2,Presbyterian Church in Ireland,7,30-34 years,2,Male,260
95HH,Carrickfergus,2,Presbyterian Church in Ireland,8,35-39 years,1,Female,315
95HH,Carrickfergus,2,Presbyterian Church in Ireland,8,35-39 years,2,Male,233
95HH,Carrickfergus,2,Presbyterian Church in Ireland,9,40-44 years,1,Female,314
95HH,Carrickfergus,2,Presbyterian Church in Ireland,9,40-44 years,2,Male,276
95HH,Carrickfergus,2,Presbyterian Church in Ireland,10,45-49 years,1,Female,354
95HH,Carrickfergus,2,Presbyterian Church in Ireland,10,45-49 years,2,Male,323
95HH,Carrickfergus,2,Presbyterian Church in Ireland,11,50-54 years,1,Female,416
95HH,Carrickfergus,2,Presbyterian Church in Ireland,11,50-54 years,2,Male,369
95HH,Carrickfergus,2,Presbyterian Church in Ireland,12,55-59 years,1,Female,477
95HH,Carrickfergus,2,Presbyterian Church in Ireland,12,55-59 years,2,Male,459
95HH,Carrickfergus,2,Presbyterian Church in Ireland,13,60-64 years,1,Female,421
95HH,Carrickfergus,2,Presbyterian Church in Ireland,13,60-64 years,2,Male,430
95HH,Carrickfergus,2,Presbyterian Church in Ireland,14,65-69 years,1,Female,368
95HH,Carrickfergus,2,Presbyterian Church in Ireland,14,65-69 years,2,Male,304
95HH,Carrickfergus,2,Presbyterian Church in Ireland,15,70-74 years,1,Female,354
95HH,Carrickfergus,2,Presbyterian Church in Ireland,15,70-74 years,2,Male,347
95HH,Carrickfergus,2,Presbyterian Church in Ireland,16,75-79 years,1,Female,336
95HH,Carrickfergus,2,Presbyterian Church in Ireland,16,75-79 years,2,Male,288
95HH,Carrickfergus,2,Presbyterian Church in Ireland,17,80-84 years,1,Female,227
95HH,Carrickfergus,2,Presbyterian Church in Ireland,17,80-84 years,2,Male,157
95HH,Carrickfergus,2,Presbyterian Church in Ireland,18,85-89 years,1,Female,150
95HH,Carrickfergus,2,Presbyterian Church in Ireland,18,85-89 years,2,Male,95
95HH,Carrickfergus,2,Presbyterian Church in Ireland,19,90+ years,1,Female,100
95HH,Carrickfergus,2,Presbyterian Church in Ireland,19,90+ years,2,Male,37
95HH,Carrickfergus,3,Church of Ireland,1,0-4 years,1,Female,71
95HH,Carrickfergus,3,Church of Ireland,1,0-4 years,2,Male,83
95HH,Carrickfergus,3,Church of Ireland,2,5-9 years,1,Female,98
95HH,Carrickfergus,3,Church of Ireland,2,5-9 years,2,Male,103
95HH,Carrickfergus,3,Church of Ireland,3,10-14 years,1,Female,149
95HH,Carrickfergus,3,Church of Ireland,3,10-14 years,2,Male,125
95HH,Carrickfergus,3,Church of Ireland,4,15-19 years,1,Female,131
95HH,Carrickfergus,3,Church of Ireland,4,15-19 years,2,Male,148
95HH,Carrickfergus,3,Church of Ireland,5,20-24 years,1,Female,111
95HH,Carrickfergus,3,Church of Ireland,5,20-24 years,2,Male,123
95HH,Carrickfergus,3,Church of Ireland,6,25-29 years,1,Female,110
95HH,Carrickfergus,3,Church of Ireland,6,25-29 years,2,Male,127
95HH,Carrickfergus,3,Church of Ireland,7,30-34 years,1,Female,114
95HH,Carrickfergus,3,Church of Ireland,7,30-34 years,2,Male,100
95HH,Carrickfergus,3,Church of Ireland,8,35-39 years,1,Female,147
95HH,Carrickfergus,3,Church of Ireland,8,35-39 years,2,Male,114
95HH,Carrickfergus,3,Church of Ireland,9,40-44 years,1,Female,159
95HH,Carrickfergus,3,Church of Ireland,9,40-44 years,2,Male,128
95HH,Carrickfergus,3,Church of Ireland,10,45-49 years,1,Female,202
95HH,Carrickfergus,3,Church of Ireland,10,45-49 years,2,Male,167
95HH,Carrickfergus,3,Church of Ireland,11,50-54 years,1,Female,296
95HH,Carrickfergus,3,Church of Ireland,11,50-54 years,2,Male,267
95HH,Carrickfergus,3,Church of Ireland,12,55-59 years,1,Female,335
95HH,Carrickfergus,3,Church of Ireland,12,55-59 years,2,Male,282
95HH,Carrickfergus,3,Church of Ireland,13,60-64 years,1,Female,298
95HH,Carrickfergus,3,Church of Ireland,13,60-64 years,2,Male,278
95HH,Carrickfergus,3,Church of Ireland,14,65-69 years,1,Female,222
95HH,Carrickfergus,3,Church of Ireland,14,65-69 years,2,Male,203
95HH,Carrickfergus,3,Church of Ireland,15,70-74 years,1,Female,229
95HH,Carrickfergus,3,Church of Ireland,15,70-74 years,2,Male,183
95HH,Carrickfergus,3,Church of Ireland,16,75-79 years,1,Female,187
95HH,Carrickfergus,3,Church of Ireland,16,75-79 years,2,Male,165
95HH,Carrickfergus,3,Church of Ireland,17,80-84 years,1,Female,150
95HH,Carrickfergus,3,Church of Ireland,17,80-84 years,2,Male,106
95HH,Carrickfergus,3,Church of Ireland,18,85-89 years,1,Female,70
95HH,Carrickfergus,3,Church of Ireland,18,85-89 years,2,Male,43
95HH,Carrickfergus,3,Church of Ireland,19,90+ years,1,Female,51
95HH,Carrickfergus,3,Church of Ireland,19,90+ years,2,Male,15
95HH,Carrickfergus,4,Methodist Church in Ireland,1,0-4 years,1,Female,24
95HH,Carrickfergus,4,Methodist Church in Ireland,1,0-4 years,2,Male,45
95HH,Carrickfergus,4,Methodist Church in Ireland,2,5-9 years,1,Female,44
95HH,Carrickfergus,4,Methodist Church in Ireland,2,5-9 years,2,Male,44
95HH,Carrickfergus,4,Methodist Church in Ireland,3,10-14 years,1,Female,49
95HH,Carrickfergus,4,Methodist Church in Ireland,3,10-14 years,2,Male,59
95HH,Carrickfergus,4,Methodist Church in Ireland,4,15-19 years,1,Female,55
95HH,Carrickfergus,4,Methodist Church in Ireland,4,15-19 years,2,Male,64
95HH,Carrickfergus,4,Methodist Church in Ireland,5,20-24 years,1,Female,45
95HH,Carrickfergus,4,Methodist Church in Ireland,5,20-24 years,2,Male,61
95HH,Carrickfergus,4,Methodist Church in Ireland,6,25-29 years,1,Female,54
95HH,Carrickfergus,4,Methodist Church in Ireland,6,25-29 years,2,Male,44
95HH,Carrickfergus,4,Methodist Church in Ireland,7,30-34 years,1,Female,67
95HH,Carrickfergus,4,Methodist Church in Ireland,7,30-34 years,2,Male,46
95HH,Carrickfergus,4,Methodist Church in Ireland,8,35-39 years,1,Female,55
95HH,Carrickfergus,4,Methodist Church in Ireland,8,35-39 years,2,Male,49
95HH,Carrickfergus,4,Methodist Church in Ireland,9,40-44 years,1,Female,63
95HH,Carrickfergus,4,Methodist Church in Ireland,9,40-44 years,2,Male,43
95HH,Carrickfergus,4,Methodist Church in Ireland,10,45-49 years,1,Female,80
95HH,Carrickfergus,4,Methodist Church in Ireland,10,45-49 years,2,Male,65
95HH,Carrickfergus,4,Methodist Church in Ireland,11,50-54 years,1,Female,114
95HH,Carrickfergus,4,Methodist Church in Ireland,11,50-54 years,2,Male,87
95HH,Carrickfergus,4,Methodist Church in Ireland,12,55-59 years,1,Female,132
95HH,Carrickfergus,4,Methodist Church in Ireland,12,55-59 years,2,Male,120
95HH,Carrickfergus,4,Methodist Church in Ireland,13,60-64 years,1,Female,122
95HH,Carrickfergus,4,Methodist Church in Ireland,13,60-64 years,2,Male,110
95HH,Carrickfergus,4,Methodist Church in Ireland,14,65-69 years,1,Female,90
95HH,Carrickfergus,4,Methodist Church in Ireland,14,65-69 years,2,Male,65
95HH,Carrickfergus,4,Methodist Church in Ireland,15,70-74 years,1,Female,88
95HH,Carrickfergus,4,Methodist Church in Ireland,15,70-74 years,2,Male,60
95HH,Carrickfergus,4,Methodist Church in Ireland,16,75-79 years,1,Female,94
95HH,Carrickfergus,4,Methodist Church in Ireland,16,75-79 years,2,Male,73
95HH,Carrickfergus,4,Methodist Church in Ireland,17,80-84 years,1,Female,59
95HH,Carrickfergus,4,Methodist Church in Ireland,17,80-84 years,2,Male,37
95HH,Carrickfergus,4,Methodist Church in Ireland,18,85-89 years,1,Female,46
95HH,Carrickfergus,4,Methodist Church in Ireland,18,85-89 years,2,Male,27
95HH,Carrickfergus,4,Methodist Church in Ireland,19,90+ years,1,Female,24
95HH,Carrickfergus,4,Methodist Church in Ireland,19,90+ years,2,Male,6
95HH,Carrickfergus,5,Other Christian (including Christian related),1,0-4 years,1,Female,89
95HH,Carrickfergus,5,Other Christian (including Christian related),1,0-4 years,2,Male,101
95HH,Carrickfergus,5,Other Christian (including Christian related),2,5-9 years,1,Female,125
95HH,Carrickfergus,5,Other Christian (including Christian related),2,5-9 years,2,Male,157
95HH,Carrickfergus,5,Other Christian (including Christian related),3,10-14 years,1,Female,143
95HH,Carrickfergus,5,Other Christian (including Christian related),3,10-14 years,2,Male,146
95HH,Carrickfergus,5,Other Christian (including Christian related),4,15-19 years,1,Female,105
95HH,Carrickfergus,5,Other Christian (including Christian related),4,15-19 years,2,Male,145
95HH,Carrickfergus,5,Other Christian (including Christian related),5,20-24 years,1,Female,112
95HH,Carrickfergus,5,Other Christian (including Christian related),5,20-24 years,2,Male,105
95HH,Carrickfergus,5,Other Christian (including Christian related),6,25-29 years,1,Female,111
95HH,Carrickfergus,5,Other Christian (including Christian related),6,25-29 years,2,Male,98
95HH,Carrickfergus,5,Other Christian (including Christian related),7,30-34 years,1,Female,128
95HH,Carrickfergus,5,Other Christian (including Christian related),7,30-34 years,2,Male,99
95HH,Carrickfergus,5,Other Christian (including Christian related),8,35-39 years,1,Female,169
95HH,Carrickfergus,5,Other Christian (including Christian related),8,35-39 years,2,Male,119
95HH,Carrickfergus,5,Other Christian (including Christian related),9,40-44 years,1,Female,201
95HH,Carrickfergus,5,Other Christian (including Christian related),9,40-44 years,2,Male,134
95HH,Carrickfergus,5,Other Christian (including Christian related),10,45-49 years,1,Female,189
95HH,Carrickfergus,5,Other Christian (including Christian related),10,45-49 years,2,Male,182
95HH,Carrickfergus,5,Other Christian (including Christian related),11,50-54 years,1,Female,221
95HH,Carrickfergus,5,Other Christian (including Christian related),11,50-54 years,2,Male,170
95HH,Carrickfergus,5,Other Christian (including Christian related),12,55-59 years,1,Female,162
95HH,Carrickfergus,5,Other Christian (including Christian related),12,55-59 years,2,Male,156
95HH,Carrickfergus,5,Other Christian (including Christian related),13,60-64 years,1,Female,170
95HH,Carrickfergus,5,Other Christian (including Christian related),13,60-64 years,2,Male,112
95HH,Carrickfergus,5,Other Christian (including Christian related),14,65-69 years,1,Female,158
95HH,Carrickfergus,5,Other Christian (including Christian related),14,65-69 years,2,Male,122
95HH,Carrickfergus,5,Other Christian (including Christian related),15,70-74 years,1,Female,134
95HH,Carrickfergus,5,Other Christian (including Christian related),15,70-74 years,2,Male,110
95HH,Carrickfergus,5,Other Christian (including Christian related),16,75-79 years,1,Female,96
95HH,Carrickfergus,5,Other Christian (including Christian related),16,75-79 years,2,Male,95
95HH,Carrickfergus,5,Other Christian (including Christian related),17,80-84 years,1,Female,63
95HH,Carrickfergus,5,Other Christian (including Christian related),17,80-84 years,2,Male,54
95HH,Carrickfergus,5,Other Christian (including Christian related),18,85-89 years,1,Female,43
95HH,Carrickfergus,5,Other Christian (including Christian related),18,85-89 years,2,Male,19
95HH,Carrickfergus,5,Other Christian (including Christian related),19,90+ years,1,Female,31
95HH,Carrickfergus,5,Other Christian (including Christian related),19,90+ years,2,Male,12
95HH,Carrickfergus,6,Other religions,1,0-4 years,1,Female,24
95HH,Carrickfergus,6,Other religions,1,0-4 years,2,Male,13
95HH,Carrickfergus,6,Other religions,2,5-9 years,1,Female,18
95HH,Carrickfergus,6,Other religions,2,5-9 years,2,Male,19
95HH,Carrickfergus,6,Other religions,3,10-14 years,1,Female,9
95HH,Carrickfergus,6,Other religions,3,10-14 years,2,Male,12
95HH,Carrickfergus,6,Other religions,4,15-19 years,1,Female,3
95HH,Carrickfergus,6,Other religions,4,15-19 years,2,Male,10
95HH,Carrickfergus,6,Other religions,5,20-24 years,1,Female,9
95HH,Carrickfergus,6,Other religions,5,20-24 years,2,Male,17
95HH,Carrickfergus,6,Other religions,6,25-29 years,1,Female,11
95HH,Carrickfergus,6,Other religions,6,25-29 years,2,Male,13
95HH,Carrickfergus,6,Other religions,7,30-34 years,1,Female,29
95HH,Carrickfergus,6,Other religions,7,30-34 years,2,Male,22
95HH,Carrickfergus,6,Other religions,8,35-39 years,1,Female,20
95HH,Carrickfergus,6,Other religions,8,35-39 years,2,Male,19
95HH,Carrickfergus,6,Other religions,9,40-44 years,1,Female,18
95HH,Carrickfergus,6,Other religions,9,40-44 years,2,Male,18
95HH,Carrickfergus,6,Other religions,10,45-49 years,1,Female,23
95HH,Carrickfergus,6,Other religions,10,45-49 years,2,Male,18
95HH,Carrickfergus,6,Other religions,11,50-54 years,1,Female,20
95HH,Carrickfergus,6,Other religions,11,50-54 years,2,Male,14
95HH,Carrickfergus,6,Other religions,12,55-59 years,1,Female,12
95HH,Carrickfergus,6,Other religions,12,55-59 years,2,Male,10
95HH,Carrickfergus,6,Other religions,13,60-64 years,1,Female,10
95HH,Carrickfergus,6,Other religions,13,60-64 years,2,Male,13
95HH,Carrickfergus,6,Other religions,14,65-69 years,1,Female,7
95HH,Carrickfergus,6,Other religions,14,65-69 years,2,Male,11
95HH,Carrickfergus,6,Other religions,15,70-74 years,1,Female,14
95HH,Carrickfergus,6,Other religions,15,70-74 years,2,Male,7
95HH,Carrickfergus,6,Other religions,16,75-79 years,1,Female,0
95HH,Carrickfergus,6,Other religions,16,75-79 years,2,Male,12
95HH,Carrickfergus,6,Other religions,17,80-84 years,1,Female,3
95HH,Carrickfergus,6,Other religions,17,80-84 years,2,Male,2
95HH,Carrickfergus,6,Other religions,18,85-89 years,1,Female,3
95HH,Carrickfergus,6,Other religions,18,85-89 years,2,Male,2
95HH,Carrickfergus,6,Other religions,19,90+ years,1,Female,1
95HH,Carrickfergus,6,Other religions,19,90+ years,2,Male,0
95HH,Carrickfergus,7,No religion,1,0-4 years,1,Female,438
95HH,Carrickfergus,7,No religion,1,0-4 years,2,Male,477
95HH,Carrickfergus,7,No religion,2,5-9 years,1,Female,422
95HH,Carrickfergus,7,No religion,2,5-9 years,2,Male,441
95HH,Carrickfergus,7,No religion,3,10-14 years,1,Female,377
95HH,Carrickfergus,7,No religion,3,10-14 years,2,Male,403
95HH,Carrickfergus,7,No religion,4,15-19 years,1,Female,403
95HH,Carrickfergus,7,No religion,4,15-19 years,2,Male,410
95HH,Carrickfergus,7,No religion,5,20-24 years,1,Female,423
95HH,Carrickfergus,7,No religion,5,20-24 years,2,Male,478
95HH,Carrickfergus,7,No religion,6,25-29 years,1,Female,497
95HH,Carrickfergus,7,No religion,6,25-29 years,2,Male,537
95HH,Carrickfergus,7,No religion,7,30-34 years,1,Female,526
95HH,Carrickfergus,7,No religion,7,30-34 years,2,Male,546
95HH,Carrickfergus,7,No religion,8,35-39 years,1,Female,405
95HH,Carrickfergus,7,No religion,8,35-39 years,2,Male,455
95HH,Carrickfergus,7,No religion,9,40-44 years,1,Female,393
95HH,Carrickfergus,7,No religion,9,40-44 years,2,Male,383
95HH,Carrickfergus,7,No religion,10,45-49 years,1,Female,345
95HH,Carrickfergus,7,No religion,10,45-49 years,2,Male,398
95HH,Carrickfergus,7,No religion,11,50-54 years,1,Female,381
95HH,Carrickfergus,7,No religion,11,50-54 years,2,Male,458
95HH,Carrickfergus,7,No religion,12,55-59 years,1,Female,344
95HH,Carrickfergus,7,No religion,12,55-59 years,2,Male,409
95HH,Carrickfergus,7,No religion,13,60-64 years,1,Female,264
95HH,Carrickfergus,7,No religion,13,60-64 years,2,Male,327
95HH,Carrickfergus,7,No religion,14,65-69 years,1,Female,186
95HH,Carrickfergus,7,No religion,14,65-69 years,2,Male,258
95HH,Carrickfergus,7,No religion,15,70-74 years,1,Female,131
95HH,Carrickfergus,7,No religion,15,70-74 years,2,Male,190
95HH,Carrickfergus,7,No religion,16,75-79 years,1,Female,95
95HH,Carrickfergus,7,No religion,16,75-79 years,2,Male,93
95HH,Carrickfergus,7,No religion,17,80-84 years,1,Female,37
95HH,Carrickfergus,7,No religion,17,80-84 years,2,Male,46
95HH,Carrickfergus,7,No religion,18,85-89 years,1,Female,19
95HH,Carrickfergus,7,No religion,18,85-89 years,2,Male,24
95HH,Carrickfergus,7,No religion,19,90+ years,1,Female,7
95HH,Carrickfergus,7,No religion,19,90+ years,2,Male,6
95HH,Carrickfergus,8,Religion not stated,1,0-4 years,1,Female,22
95HH,Carrickfergus,8,Religion not stated,1,0-4 years,2,Male,16
95HH,Carrickfergus,8,Religion not stated,2,5-9 years,1,Female,10
95HH,Carrickfergus,8,Religion not stated,2,5-9 years,2,Male,19
95HH,Carrickfergus,8,Religion not stated,3,10-14 years,1,Female,14
95HH,Carrickfergus,8,Religion not stated,3,10-14 years,2,Male,23
95HH,Carrickfergus,8,Religion not stated,4,15-19 years,1,Female,11
95HH,Carrickfergus,8,Religion not stated,4,15-19 years,2,Male,17
95HH,Carrickfergus,8,Religion not stated,5,20-24 years,1,Female,12
95HH,Carrickfergus,8,Religion not stated,5,20-24 years,2,Male,8
95HH,Carrickfergus,8,Religion not stated,6,25-29 years,1,Female,14
95HH,Carrickfergus,8,Religion not stated,6,25-29 years,2,Male,6
95HH,Carrickfergus,8,Religion not stated,7,30-34 years,1,Female,13
95HH,Carrickfergus,8,Religion not stated,7,30-34 years,2,Male,15
95HH,Carrickfergus,8,Religion not stated,8,35-39 years,1,Female,7
95HH,Carrickfergus,8,Religion not stated,8,35-39 years,2,Male,14
95HH,Carrickfergus,8,Religion not stated,9,40-44 years,1,Female,9
95HH,Carrickfergus,8,Religion not stated,9,40-44 years,2,Male,11
95HH,Carrickfergus,8,Religion not stated,10,45-49 years,1,Female,11
95HH,Carrickfergus,8,Religion not stated,10,45-49 years,2,Male,18
95HH,Carrickfergus,8,Religion not stated,11,50-54 years,1,Female,14
95HH,Carrickfergus,8,Religion not stated,11,50-54 years,2,Male,22
95HH,Carrickfergus,8,Religion not stated,12,55-59 years,1,Female,20
95HH,Carrickfergus,8,Religion not stated,12,55-59 years,2,Male,19
95HH,Carrickfergus,8,Religion not stated,13,60-64 years,1,Female,19
95HH,Carrickfergus,8,Religion not stated,13,60-64 years,2,Male,13
95HH,Carrickfergus,8,Religion not stated,14,65-69 years,1,Female,28
95HH,Carrickfergus,8,Religion not stated,14,65-69 years,2,Male,13
95HH,Carrickfergus,8,Religion not stated,15,70-74 years,1,Female,35
95HH,Carrickfergus,8,Religion not stated,15,70-74 years,2,Male,24
95HH,Carrickfergus,8,Religion not stated,16,75-79 years,1,Female,25
95HH,Carrickfergus,8,Religion not stated,16,75-79 years,2,Male,21
95HH,Carrickfergus,8,Religion not stated,17,80-84 years,1,Female,17
95HH,Carrickfergus,8,Religion not stated,17,80-84 years,2,Male,11
95HH,Carrickfergus,8,Religion not stated,18,85-89 years,1,Female,10
95HH,Carrickfergus,8,Religion not stated,18,85-89 years,2,Male,8
95HH,Carrickfergus,8,Religion not stated,19,90+ years,1,Female,4
95HH,Carrickfergus,8,Religion not stated,19,90+ years,2,Male,1
95II,Castlereagh,1,Catholic,1,0-4 years,1,Female,561
95II,Castlereagh,1,Catholic,1,0-4 years,2,Male,594
95II,Castlereagh,1,Catholic,2,5-9 years,1,Female,599
95II,Castlereagh,1,Catholic,2,5-9 years,2,Male,599
95II,Castlereagh,1,Catholic,3,10-14 years,1,Female,566
95II,Castlereagh,1,Catholic,3,10-14 years,2,Male,600
95II,Castlereagh,1,Catholic,4,15-19 years,1,Female,397
95II,Castlereagh,1,Catholic,4,15-19 years,2,Male,466
95II,Castlereagh,1,Catholic,5,20-24 years,1,Female,308
95II,Castlereagh,1,Catholic,5,20-24 years,2,Male,331
95II,Castlereagh,1,Catholic,6,25-29 years,1,Female,452
95II,Castlereagh,1,Catholic,6,25-29 years,2,Male,360
95II,Castlereagh,1,Catholic,7,30-34 years,1,Female,638
95II,Castlereagh,1,Catholic,7,30-34 years,2,Male,491
95II,Castlereagh,1,Catholic,8,35-39 years,1,Female,713
95II,Castlereagh,1,Catholic,8,35-39 years,2,Male,569
95II,Castlereagh,1,Catholic,9,40-44 years,1,Female,670
95II,Castlereagh,1,Catholic,9,40-44 years,2,Male,563
95II,Castlereagh,1,Catholic,10,45-49 years,1,Female,599
95II,Castlereagh,1,Catholic,10,45-49 years,2,Male,493
95II,Castlereagh,1,Catholic,11,50-54 years,1,Female,650
95II,Castlereagh,1,Catholic,11,50-54 years,2,Male,473
95II,Castlereagh,1,Catholic,12,55-59 years,1,Female,684
95II,Castlereagh,1,Catholic,12,55-59 years,2,Male,486
95II,Castlereagh,1,Catholic,13,60-64 years,1,Female,498
95II,Castlereagh,1,Catholic,13,60-64 years,2,Male,398
95II,Castlereagh,1,Catholic,14,65-69 years,1,Female,287
95II,Castlereagh,1,Catholic,14,65-69 years,2,Male,242
95II,Castlereagh,1,Catholic,15,70-74 years,1,Female,196
95II,Castlereagh,1,Catholic,15,70-74 years,2,Male,138
95II,Castlereagh,1,Catholic,16,75-79 years,1,Female,161
95II,Castlereagh,1,Catholic,16,75-79 years,2,Male,111
95II,Castlereagh,1,Catholic,17,80-84 years,1,Female,103
95II,Castlereagh,1,Catholic,17,80-84 years,2,Male,70
95II,Castlereagh,1,Catholic,18,85-89 years,1,Female,75
95II,Castlereagh,1,Catholic,18,85-89 years,2,Male,41
95II,Castlereagh,1,Catholic,19,90+ years,1,Female,40
95II,Castlereagh,1,Catholic,19,90+ years,2,Male,25
95II,Castlereagh,2,Presbyterian Church in Ireland,1,0-4 years,1,Female,292
95II,Castlereagh,2,Presbyterian Church in Ireland,1,0-4 years,2,Male,301
95II,Castlereagh,2,Presbyterian Church in Ireland,2,5-9 years,1,Female,364
95II,Castlereagh,2,Presbyterian Church in Ireland,2,5-9 years,2,Male,340
95II,Castlereagh,2,Presbyterian Church in Ireland,3,10-14 years,1,Female,380
95II,Castlereagh,2,Presbyterian Church in Ireland,3,10-14 years,2,Male,410
95II,Castlereagh,2,Presbyterian Church in Ireland,4,15-19 years,1,Female,328
95II,Castlereagh,2,Presbyterian Church in Ireland,4,15-19 years,2,Male,351
95II,Castlereagh,2,Presbyterian Church in Ireland,5,20-24 years,1,Female,284
95II,Castlereagh,2,Presbyterian Church in Ireland,5,20-24 years,2,Male,307
95II,Castlereagh,2,Presbyterian Church in Ireland,6,25-29 years,1,Female,364
95II,Castlereagh,2,Presbyterian Church in Ireland,6,25-29 years,2,Male,376
95II,Castlereagh,2,Presbyterian Church in Ireland,7,30-34 years,1,Female,421
95II,Castlereagh,2,Presbyterian Church in Ireland,7,30-34 years,2,Male,399
95II,Castlereagh,2,Presbyterian Church in Ireland,8,35-39 years,1,Female,451
95II,Castlereagh,2,Presbyterian Church in Ireland,8,35-39 years,2,Male,395
95II,Castlereagh,2,Presbyterian Church in Ireland,9,40-44 years,1,Female,380
95II,Castlereagh,2,Presbyterian Church in Ireland,9,40-44 years,2,Male,350
95II,Castlereagh,2,Presbyterian Church in Ireland,10,45-49 years,1,Female,408
95II,Castlereagh,2,Presbyterian Church in Ireland,10,45-49 years,2,Male,408
95II,Castlereagh,2,Presbyterian Church in Ireland,11,50-54 years,1,Female,573
95II,Castlereagh,2,Presbyterian Church in Ireland,11,50-54 years,2,Male,513
95II,Castlereagh,2,Presbyterian Church in Ireland,12,55-59 years,1,Female,654
95II,Castlereagh,2,Presbyterian Church in Ireland,12,55-59 years,2,Male,583
95II,Castlereagh,2,Presbyterian Church in Ireland,13,60-64 years,1,Female,606
95II,Castlereagh,2,Presbyterian Church in Ireland,13,60-64 years,2,Male,585
95II,Castlereagh,2,Presbyterian Church in Ireland,14,65-69 years,1,Female,456
95II,Castlereagh,2,Presbyterian Church in Ireland,14,65-69 years,2,Male,476
95II,Castlereagh,2,Presbyterian Church in Ireland,15,70-74 years,1,Female,451
95II,Castlereagh,2,Presbyterian Church in Ireland,15,70-74 years,2,Male,405
95II,Castlereagh,2,Presbyterian Church in Ireland,16,75-79 years,1,Female,469
95II,Castlereagh,2,Presbyterian Church in Ireland,16,75-79 years,2,Male,365
95II,Castlereagh,2,Presbyterian Church in Ireland,17,80-84 years,1,Female,402
95II,Castlereagh,2,Presbyterian Church in Ireland,17,80-84 years,2,Male,261
95II,Castlereagh,2,Presbyterian Church in Ireland,18,85-89 years,1,Female,267
95II,Castlereagh,2,Presbyterian Church in Ireland,18,85-89 years,2,Male,145
95II,Castlereagh,2,Presbyterian Church in Ireland,19,90+ years,1,Female,169
95II,Castlereagh,2,Presbyterian Church in Ireland,19,90+ years,2,Male,66
95II,Castlereagh,3,Church of Ireland,1,0-4 years,1,Female,158
95II,Castlereagh,3,Church of Ireland,1,0-4 years,2,Male,153
95II,Castlereagh,3,Church of Ireland,2,5-9 years,1,Female,179
95II,Castlereagh,3,Church of Ireland,2,5-9 years,2,Male,194
95II,Castlereagh,3,Church of Ireland,3,10-14 years,1,Female,202
95II,Castlereagh,3,Church of Ireland,3,10-14 years,2,Male,196
